Cat8_Diff_az_m1000-m500
Cat8_Diff_bz_m1000-m500
Cat8_Eth_az_m1000-m500
Cat8_Glu_az_m1000-m500
Cat8_Glu_sum_m1000-m500
Cat8-Sip4_Diff_az_m1000-m500
Cat8-Sip4_Eth_az_m1000-m500
Cbf1_Glu_az_m1000-m500
Ert1-Rds2_Diff_sum_m1000-m500
Gcr2_Diff_bz_m1000-m500
Gcr2_Glu_az_m1000-m500
Ino4_Diff_az_m1000-m500
Ino4_Eth_az_m1000-m500
Ino4_Eth_sum_m1000-m500
Oaf1_Diff_az_m1000-m500
Oaf1_Eth_az_m1000-m500
Oaf1_Eth_sum_m1000-m500
Pip2_Glu_sum_m1000-m500
Rds2_Diff_sum_m1000-m500
Sip4_Diff_az_m1000-m500
Sip4_Eth_az_m1000-m500
Sip4_Eth_sum_m1000-m500
Sut1_Diff_az_m1000-m500
Sut1_Eth_az_m1000-m500
Sut1_Eth_sum_m1000-m500
Cat8_Eth_sum_m500-0
Cat8-Sip4_Glu_sum_m500-0
Cst6_Diff_bz_m500-0
Ert1-Rds2_Eth_az_m500-0
Gcr1_Diff_bz_m500-0
Gcr1-Gcr2_Diff_bz_m500-0
Gcr2_Diff_az_m500-0
Gcr2_Eth_az_m500-0
Gcr2_Eth_sum_m500-0
Hap1_Eth_az_m500-0
Leu3_Diff_sum_m500-0
Oaf1_Glu_sum_m500-0
ZincCluster_Glu_az_m500-0
Zipper_Diff_az_m500-0
Cat8_Diff_bz_0-500
Cat8_Glu_az_0-500
Ert1_Eth_sum_0-500
Ert1-Rds2_Diff_bz_0-500
Gcr1_Diff_sum_0-500
Gcr1_Eth_sum_0-500
Gcr2_Diff_az_0-500
Gcr2_Diff_bz_0-500
Gcr2_Eth_az_0-500
Gcr2_Eth_sum_0-500
Gcr2_Glu_az_0-500
Ino2_Diff_az_0-500
Ino2_Eth_az_0-500
Ino2_Eth_sum_0-500
Ino2-Ino4_Diff_sum_0-500
Ino4_Diff_az_0-500
Ino4_Diff_sum_0-500
Ino4_Eth_az_0-500
Ino4_Eth_sum_0-500
Oaf1_Diff_az_0-500
Oaf1_Diff_bz_0-500
Oaf1_Eth_az_0-500
Oaf1_Glu_az_0-500
Oaf1_Glu_sum_0-500
Oaf1-Pip2_Eth_az_0-500
Rtg3_Diff_az_0-500
Rtg3_Diff_bz_0-500
Rtg3_Eth_az_0-500
Rtg3_Eth_sum_0-500
Rtg3_Glu_az_0-500
Rtg3_Glu_sum_0-500
Sip4_Diff_az_0-500
Sip4_Eth_az_0-500
Sip4_Eth_sum_0-500
Sut1_Diff_az_0-500
Sut1_Diff_bz_0-500
Sut1_Diff_sum_0-500
Sut1_Eth_az_0-500
Sut1_Eth_sum_0-500
Sut1_Glu_az_0-500
Sut1_Glu_sum_0-500
Tye7_Diff_az_0-500
Tye7_Eth_az_0-500
Tye7_Eth_sum_0-500
Ert1-Rds2_Glu_az_m1000-500
Gcn4_Diff_sum_m1000-500
Gcn4_Eth_sum_m1000-500
Ino4_Glu_sum_m1000-500
Rtg1_Diff_az_m1000-500
Zipper_Diff_sum_m1000-500
